24239,58,114,37,
24299,58,115,47,
24359,56,115,39,
24419,56,117,49,
24479,61,115,97,
24599,58,115,49,
24659,58,117,51,
24719,56,117,51,
24781,58,117,88,
24899,56,115,106,
25019,56,119,43,
25079,56,115,35,
25139,56,118,31,
25199,56,115,53,
25259,58,113,55,
25319,59,113,49,
25379,61,114,42,
25439,63,112,37,
25499,63,113,57,
25559,70,111,92,
25679,68,115,146,
25979,56,119,39,
26041,56,118,32,
26099,56,118,31,
26159,56,118,50,
26219,58,119,47,
26279,59,106,47,
26339,61,114,46,
26399,63,114,105,
26519,70,115,97,
26639,68,118,183,
26879,63,117,112,
27000,66,117,93,
27119,68,118,110,
27239,66,115,97,
27359,63,113,117,
27479,66,115,101,
27599,68,122,109,
27720,66,113,98,
27839,61,113,107,
27960,66,114,84,
28079,66,115,41,
28139,68,104,45,
28199,66,115,91,
28319,68,114,96,
28439,68,117,57,
28499,70,113,43,
28559,68,117,102,
28679,66,115,105,
28799,63,118,48,
28859,66,119,25,
28889,66,119,25,
28919,66,114,50,
28981,63,106,48,
29039,68,118,76,
29159,61,115,35,
29219,61,114,50,
29279,63,113,43,
29339,66,109,43,
29399,63,112,45,
29459,66,115,110,
29579,63,120,46,
29639,66,114,35,
29699,66,117,44,
29819,70,115,41,
29879,68,115,30,
29939,68,115,83,
30059,66,115,26,
30119,66,115,46,
30179,69,114,50,
30239,68,115,56,
30299,66,109,36,
30359,66,117,80,
30479,68,119,56,
30539,66,117,27,
30599,66,119,49,
30659,68,118,45,
30719,70,114,107,
30839,68,109,54,
30899,70,115,154,
31079,68,119,59,
31141,70,117,105,
31261,68,118,38,
31321,70,115,31,
31379,70,115,52,
31439,68,117,105,
31559,66,119,109,
31679,70,115,113,
31801,68,113,54,
31861,70,117,149,
32039,68,104,52,
32099,70,115,110,
32219,68,114,48,
32279,70,117,110,
32399,68,115,116,
32519,66,119,97,
32639,71,118,172,
32819,70,118,145,
32999,63,118,223,
33239,66,114,34,
33299,66,114,35,
33359,66,118,50,
33419,63,118,57,
33479,61,119,83,
33599,71,117,167,
33779,70,115,117,
33959,59,117,167,
34139,61,119,255,
34558,70,117,118,
34679,68,117,54,
34739,70,117,165,
34918,68,114,52,
34979,70,118,103,
35100,68,117,46,
35160,70,114,33,
35219,70,114,58,
35279,68,117,117,
35399,66,118,107,
35519,70,117,112,
35639,68,109,54,
35699,70,118,157,
35879,68,117,56,
35939,70,117,114,
36061,68,119,47,
36119,70,117,80,
